HipCenter X,HipCenter Y,HipCenter Z,Spine X,Spine Y,Spine Z,ShoulderCenter X,ShoulderCenter Y,ShoulderCenter Z,Head X,Head Y,Head Z,ShoulderLeft X,ShoulderLeft Y,ShoulderLeft Z,ElbowLeft X,ElbowLeft Y,ElbowLeft Z,WristLeft X,WristLeft Y,WristLeft Z,HandLeft X,HandLeft Y,HandLeft Z,ShoulderRight X,ShoulderRight Y,ShoulderRight Z,ElbowRight X,ElbowRight Y,ElbowRight Z,WristRight X,WristRight Y,WristRight Z,HandRight X,HandRight Y,HandRight Z,HipLeft X,HipLeft Y,HipLeft Z,KneeLeft X,KneeLeft Y,KneeLeft Z,AnkleLeft X,AnkleLeft Y,AnkleLeft Z,FootLeft X,FootLeft Y,FootLeft Z,HipRight X,HipRight Y,HipRight Z,KneeRight X,KneeRight Y,KneeRight Z,AnkleRight X,AnkleRight Y,AnkleRight Z,FootRight X,FootRight Y,FootRight Z
-0.308615,-1.55251,0.887331,-0.337479,-1.54185,1.14493,-0.361682,-1.52534,1.3337,-0.349656,-1.52026,1.51892,-0.475336,-1.46133,1.27112,-0.567944,-1.41426,1.05901,-0.593378,-1.33418,0.875126,-0.59076,-1.30256,0.797161,-0.245601,-1.47851,1.25731,-0.197493,-1.4357,1.04329,-0.434784,-1.41852,1.14547,-0.433083,-1.41965,1.2,-0.359046,-1.52691,0.88824,-0.343324,-1.50601,0.638495,-0.577867,-1.36137,0.854943,-0.576626,-1.31324,0.773498,-0.274879,-1.5178,0.887441,-0.360271,-1.51413,0.649792,-0.354687,-1.46685,0.902601,-0.348025,-1.44231,0.789375
-0.309079,-1.54386,0.88212,-0.336208,-1.53178,1.14193,-0.3587,-1.51625,1.33352,-0.353174,-1.50246,1.51462,-0.475755,-1.45181,1.27788,-0.569599,-1.40892,1.0577,-0.593667,-1.33145,0.87354,-0.593489,-1.28144,0.797914,-0.242109,-1.47817,1.26194,-0.255049,-1.42734,1.0161,-0.484122,-1.41244,1.15129,-0.474736,-1.40759,1.20491,-0.361516,-1.514,0.883549,-0.274207,-1.47514,0.65545,-0.555643,-1.35082,0.794388,-0.608732,-1.28079,0.736759,-0.273727,-1.51247,0.882204,-0.329162,-1.49998,0.640811,-0.361152,-1.47362,0.884762,-0.352897,-1.44874,0.771232
-0.310033,-1.5408,0.879071,-0.336846,-1.53049,1.14096,-0.35896,-1.51597,1.33357,-0.352326,-1.5026,1.51453,-0.47892,-1.44659,1.27706,-0.570233,-1.40966,1.05943,-0.596279,-1.31961,0.870044,-0.60139,-1.27403,0.792158,-0.243878,-1.4773,1.25922,-0.196651,-1.43145,1.03882,-0.284976,-1.39559,1.28725,-0.322601,-1.44664,1.32975,-0.362595,-1.51184,0.882128,-0.338222,-1.50151,0.629374,-0.57292,-1.34473,0.794786,-0.591199,-1.25337,0.737491,-0.274188,-1.50851,0.877168,-0.334406,-1.50082,0.627592,-0.361734,-1.47595,0.863964,-0.354057,-1.4502,0.749708
-0.308624,-1.53334,0.878216,-0.336993,-1.52108,1.13707,-0.360198,-1.50575,1.32789,-0.355682,-1.49497,1.51476,-0.477911,-1.44729,1.27669,-0.57547,-1.39453,1.06866,-0.599876,-1.29775,0.863483,-0.599785,-1.26631,0.795876,-0.242835,-1.47424,1.26145,-0.181881,-1.42957,1.0286,-0.282978,-1.40676,1.27498,-0.294113,-1.43222,1.30064,-0.362798,-1.50563,0.881048,-0.340933,-1.49971,0.638112,-0.576368,-1.34175,0.798638,-0.588261,-1.25738,0.734338,-0.270777,-1.49997,0.876752,-0.326743,-1.49263,0.63638,-0.380916,-1.46749,0.878399,-0.371348,-1.44314,0.764855
-0.299562,-1.51774,0.873553,-0.333594,-1.50422,1.13638,-0.360463,-1.48677,1.33088,-0.356432,-1.47751,1.51447,-0.487533,-1.4238,1.27716,-0.577579,-1.38383,1.06537,-0.602374,-1.28359,0.860544,-0.603111,-1.26826,0.788869,-0.240042,-1.46221,1.2869,-0.195629,-1.42759,1.03157,-0.290047,-1.40565,1.27363,-0.302504,-1.41615,1.29848,-0.35324,-1.48804,0.872007,-0.343476,-1.49058,0.636201,-0.576865,-1.33036,0.797418,-0.586527,-1.24462,0.734498,-0.262371,-1.48619,0.875973,-0.268447,-1.45511,0.630193,-0.4025,-1.48882,0.824924,-0.383506,-1.45814,0.713894
-0.29987,-1.51558,0.873656,-0.33396,-1.50305,1.13563,-0.360889,-1.48631,1.32967,-0.357004,-1.47778,1.51318,-0.484131,-1.4216,1.27608,-0.577197,-1.38237,1.07295,-0.60175,-1.28479,0.860864,-0.601484,-1.25896,0.792229,-0.238051,-1.45005,1.26978,-0.203963,-1.40494,1.03641,-0.195565,-1.41076,0.845259,-0.209343,-1.42151,0.813059,-0.354226,-1.48627,0.873209,-0.342765,-1.48588,0.627395,-0.321145,-1.5113,0.386019,-0.315001,-1.45068,0.468156,-0.262054,-1.48308,0.874996,-0.268509,-1.46493,0.626505,-0.426175,-1.49143,0.81504,-0.400545,-1.4603,0.705636
-0.297812,-1.50861,0.870743,-0.333021,-1.49978,1.13333,-0.360517,-1.48531,1.32805,-0.358624,-1.46904,1.50732,-0.484811,-1.42002,1.2765,-0.578862,-1.37225,1.06251,-0.604058,-1.25929,0.852088,-0.600911,-1.2465,0.787868,-0.236964,-1.45007,1.26989,-0.204835,-1.40535,1.03376,-0.192263,-1.40909,0.841639,-0.20843,-1.42065,0.807406,-0.353372,-1.47953,0.871431,-0.344482,-1.48418,0.618615,-0.330019,-1.50497,0.369752,-0.327728,-1.45702,0.456713,-0.25891,-1.47634,0.871269,-0.291737,-1.46782,0.617121,-0.334138,-1.502,0.372857,-0.342115,-1.46448,0.462062
-0.297346,-1.50888,0.870371,-0.332713,-1.50082,1.13145,-0.360747,-1.48828,1.32374,-0.360953,-1.47141,1.50285,-0.484463,-1.41963,1.27584,-0.568161,-1.38709,1.07368,-0.599782,-1.27107,0.859673,-0.597362,-1.26447,0.774755,-0.238668,-1.45279,1.27207,-0.218866,-1.42331,1.0063,-0.179403,-1.41061,0.814528,-0.201739,-1.42674,0.796518,-0.35311,-1.47948,0.870893,-0.348936,-1.47597,0.6119,-0.309696,-1.51501,0.365168,-0.332305,-1.45975,0.480869,-0.258044,-1.4771,0.871052,-0.309738,-1.46789,0.61445,-0.329512,-1.51541,0.366546,-0.335147,-1.46054,0.483266
-0.292838,-1.49819,0.867688,-0.327537,-1.49027,1.12909,-0.355132,-1.47845,1.32232,-0.361572,-1.45874,1.4995,-0.484536,-1.41746,1.27507,-0.57018,-1.37309,1.06195,-0.589846,-1.27093,0.836301,-0.582187,-1.26995,0.763638,-0.238715,-1.45267,1.27295,-0.20167,-1.40211,1.01555,-0.163756,-1.41129,0.827505,-0.157493,-1.41321,0.799566,-0.348207,-1.46767,0.86436,-0.354715,-1.45179,0.600563,-0.329046,-1.49961,0.351185,-0.352814,-1.46489,0.438842,-0.253932,-1.4669,0.871854,-0.271895,-1.44658,0.607825,-0.347363,-1.51013,0.371783,-0.325248,-1.44826,0.44868
-0.259602,-1.45584,0.887261,-0.311723,-1.45024,1.14101,-0.350805,-1.44119,1.3295,-0.366589,-1.41861,1.50553,-0.494142,-1.38485,1.27421,-0.565226,-1.35767,1.06776,-0.583411,-1.27055,0.850212,-0.586209,-1.26037,0.770741,-0.214522,-1.443,1.31291,-0.210765,-1.38475,1.12442,-0.176489,-1.35639,0.934988,-0.165506,-1.36553,0.881937,-0.316745,-1.4218,0.880277,-0.313036,-1.43808,0.577164,-0.325419,-1.51371,0.299746,-0.34771,-1.46814,0.403115,-0.219824,-1.42941,0.89563,-0.00742822,-1.36629,0.684782,-0.245607,-1.46398,0.387182,-0.336417,-1.46124,0.406625
