Frames;HipCenter X;HipCenter Y;HipCenter Z;Spine X;Spine Y;Spine Z;ShoulderCenter X;ShoulderCenter Y;ShoulderCenter Z;Head X;Head Y;Head Z;ShoulderLeft X;ShoulderLeft Y;ShoulderLeft Z;ElbowLeft X;ElbowLeft Y;ElbowLeft Z;WristLeft X;WristLeft Y;WristLeft Z;HandLeft X;HandLeft Y;HandLeft Z;ShoulderRight X;ShoulderRight Y;ShoulderRight Z;ElbowRight X;ElbowRight Y;ElbowRight Z;WristRight X;WristRight Y;WristRight Z;HandRight X;HandRight Y;HandRight Z;HipLeft X;HipLeft Y;HipLeft Z;KneeLeft X;KneeLeft Y;KneeLeft Z;AnkleLeft X;AnkleLeft Y;AnkleLeft Z;FootLeft X;FootLeft Y;FootLeft Z;HipRight X;HipRight Y;HipRight Z;KneeRight X;KneeRight Y;KneeRight Z;AnkleRight X;AnkleRight Y;AnkleRight Z;FootRight X;FootRight Y;FootRight Z;Time Stamp
Frame 1;-0.082173;0.1228543;2.867678;-0.0806919;0.1799529;2.886437;-0.137408;0.4471548;2.876228;-0.1403237;0.6583936;2.828727;-0.2622714;0.4329163;2.941388;-0.2842381;0.1691529;2.919866;-0.1933087;0.01676716;2.764102;-0.1690108;-0.03422042;2.723739;-0.009087877;0.3412769;2.81361;0.0172243;0.07598761;2.84912;0.03876332;0.3025687;2.695772;0.008186009;0.335332;2.666712;-0.1247745;0.05320896;2.890188;-0.15152;-0.2445506;3.002226;-0.2513755;-0.5032046;3.047368;-0.2261251;-0.4173965;3.007936;-0.01923383;0.06192266;2.836866;-0.02561014;-0.2570726;2.911917;-0.004646432;-0.4946803;3.007275;-0.02092684;-0.5190345;2.948632;9/14/2022 4:05:15 PM
Frame 2;-0.082173;0.1228543;2.867678;-0.0806919;0.1799529;2.886437;-0.137408;0.4471548;2.876228;-0.1403237;0.6583936;2.828727;-0.2622714;0.4329163;2.941388;-0.2842381;0.1691529;2.919866;-0.1933087;0.01676716;2.764102;-0.1690108;-0.03422042;2.723739;-0.009087877;0.3412769;2.81361;0.0172243;0.07598761;2.84912;0.03876332;0.3025687;2.695772;0.008186009;0.335332;2.666712;-0.1247745;0.05320896;2.890188;-0.15152;-0.2445506;3.002226;-0.2513755;-0.5032046;3.047368;-0.2261251;-0.4173965;3.007936;-0.01923383;0.06192266;2.836866;-0.02561014;-0.2570726;2.911917;-0.004646432;-0.4946803;3.007275;-0.02092684;-0.5190345;2.948632;9/14/2022 4:05:15 PM
Frame 3;-0.08863265;0.1006011;2.869291;-0.0868797;0.162183;2.887595;-0.1327696;0.46519;2.875695;-0.1419326;0.6573986;2.82902;-0.2670946;0.3963136;2.925743;-0.2791103;0.1672016;2.913007;-0.1876186;0.01712782;2.755549;-0.1623258;-0.03194775;2.712774;-0.002600024;0.3591902;2.823512;0.02582695;0.1191259;2.847284;0.06765101;0.3324521;2.669986;0.04809668;0.5864412;2.465602;-0.151695;0.008412402;2.89274;-0.2096321;-0.2888213;3.001641;-0.2314796;-0.5387044;3.056965;-0.2301661;-0.4450203;3.023844;-0.02410812;0.05697121;2.839982;-0.02524253;-0.2583535;2.911585;-0.004248502;-0.4957677;3.007526;0.007986659;-0.5492569;2.972136;9/14/2022 4:05:15 PM
Frame 4;-0.08914595;0.09558306;2.868939;-0.08772293;0.1579516;2.887334;-0.1289691;0.4770832;2.876044;-0.1434691;0.6615375;2.827745;-0.2678717;0.3868921;2.921344;-0.2768188;0.1666286;2.909875;-0.1850929;0.01940077;2.751187;-0.1590354;-0.02768878;2.706808;-0.001308606;0.3641523;2.825667;0.02962024;0.1363169;2.846529;0.07655464;0.3567549;2.65828;0.05967563;0.6779435;2.402891;-0.1641055;0.01841295;2.857476;-0.2906981;-0.2460007;2.991112;-0.1878134;-0.4831192;3.041896;-0.2079668;-0.385619;3.015054;-0.00327864;0.06192359;2.85926;-0.02919346;-0.2593878;2.909633;-0.003984726;-0.4959742;3.007669;0.01145024;-0.5598887;2.981433;9/14/2022 4:05:15 PM
Frame 5;-0.1441699;0.1162774;2.87265;-0.1226351;0.1783819;2.8909;-0.1261513;0.4876728;2.877838;-0.1590168;0.651331;2.826096;-0.2713047;0.3832143;2.917541;-0.3493484;0.187166;2.991318;-0.2527107;0.05725733;2.822979;-0.2190978;0.01251823;2.769181;-0.007757606;0.3707085;2.82352;0.02573739;0.1430776;2.840557;0.006475959;0.3742341;2.705764;-0.04673845;0.8605932;2.509437;-0.2038713;0.02873644;2.894155;-0.3875476;-0.361572;3.007765;-0.1136059;-0.1764041;2.950302;-0.1596204;-0.2910751;2.999419;-0.09985761;0.0682589;2.856959;-0.02784784;-0.2582975;2.906994;-0.006197223;-0.4950343;3.003622;-0.01829764;-0.5404031;2.962995;9/14/2022 4:05:15 PM
Frame 6;-0.1453194;0.1065449;2.878484;-0.1279775;0.1727498;2.893726;-0.1252084;0.4861194;2.876359;-0.1587457;0.6507264;2.825989;-0.2617446;0.3726165;2.908152;-0.3408063;0.1810148;2.981846;-0.2493729;0.05290441;2.819444;-0.2164193;0.008321826;2.766442;-0.008111113;0.370903;2.822328;-0.01268848;0.6822126;2.595059;0.03761158;0.7549297;2.443104;-0.000733206;0.7703996;2.481166;-0.2038865;0.02553772;2.898716;-0.2278247;-0.2766135;3.00041;-0.02749927;-0.5285811;3.030359;-0.1263238;-0.3864776;3.010283;-0.09925136;0.05635807;2.864742;-0.02708657;-0.2590705;2.90703;-0.006502124;-0.4964508;3.002733;-0.02973199;-0.5707366;2.96076;9/14/2022 4:05:15 PM
Frame 7;-0.133171;0.0994638;2.878244;-0.1246881;0.1679672;2.893574;-0.125221;0.4848019;2.876035;-0.1574313;0.6497018;2.82707;-0.262616;0.3751849;2.911143;-0.3499466;0.2087405;2.998467;-0.2557106;0.07350539;2.831991;-0.2231671;0.02870203;2.779562;-0.009195686;0.3682152;2.820512;0.001210675;0.6607252;2.57952;0.06540757;0.7327079;2.429771;0.03250428;0.6834443;2.483472;-0.1796714;0.01744021;2.892124;-0.2113007;-0.2689575;2.999942;-0.03044018;-0.5488748;3.041559;-0.1225116;-0.4002085;3.012993;-0.07503627;0.05200167;2.86269;-0.0270391;-0.2600687;2.907257;-0.006551189;-0.4973784;3.002846;0.003455016;-0.5768415;2.984873;9/14/2022 4:05:15 PM
Frame 8;-0.1301721;0.09888898;2.878979;-0.1234771;0.1667819;2.893628;-0.1250415;0.484139;2.875841;-0.1559215;0.6494898;2.828038;-0.2875559;0.4145409;2.954706;-0.3925391;0.2281789;3.072305;-0.2974744;0.04377764;2.901065;-0.2644008;-0.01623475;2.846017;-0.009947699;0.3665372;2.819149;-0.0006359902;0.6106256;2.608356;0.06381315;0.70753;2.453445;0.02577075;0.6780104;2.499751;-0.1757809;0.01686887;2.891902;-0.2458715;-0.2795717;3.015326;-0.027723;-0.3651749;2.958069;-0.1189387;-0.3875356;3.003786;-0.07046323;0.05229746;2.862939;-0.02710108;-0.2600231;2.907238;-0.00673796;-0.4973653;3.002628;-0.00722258;-0.5742087;2.980782;9/14/2022 4:05:15 PM
Frame 9;-0.1301721;0.09888898;2.878979;-0.1234771;0.1667819;2.893628;-0.1250415;0.484139;2.875841;-0.1559215;0.6494898;2.828038;-0.2875559;0.4145409;2.954706;-0.3925391;0.2281789;3.072305;-0.2974744;0.04377764;2.901065;-0.2644008;-0.01623475;2.846017;-0.009947699;0.3665372;2.819149;-0.0006359902;0.6106256;2.608356;0.06381315;0.70753;2.453445;0.02577075;0.6780104;2.499751;-0.1757809;0.01686887;2.891902;-0.2458715;-0.2795717;3.015326;-0.027723;-0.3651749;2.958069;-0.1189387;-0.3875356;3.003786;-0.07046323;0.05229746;2.862939;-0.02710108;-0.2600231;2.907238;-0.00673796;-0.4973653;3.002628;-0.00722258;-0.5742087;2.980782;9/14/2022 4:05:15 PM
Frame 10;-0.1301721;0.09888898;2.878979;-0.1234771;0.1667819;2.893628;-0.1250415;0.484139;2.875841;-0.1559215;0.6494898;2.828038;-0.2875559;0.4145409;2.954706;-0.3925391;0.2281789;3.072305;-0.2974744;0.04377764;2.901065;-0.2644008;-0.01623475;2.846017;-0.009947699;0.3665372;2.819149;-0.0006359902;0.6106256;2.608356;0.06381315;0.70753;2.453445;0.02577075;0.6780104;2.499751;-0.1757809;0.01686887;2.891902;-0.2458715;-0.2795717;3.015326;-0.027723;-0.3651749;2.958069;-0.1189387;-0.3875356;3.003786;-0.07046323;0.05229746;2.862939;-0.02710108;-0.2600231;2.907238;-0.00673796;-0.4973653;3.002628;-0.00722258;-0.5742087;2.980782;9/14/2022 4:05:15 PM
